REFERENCE_COMPOUND_NAME,PUBCHEM_CID,CHEBI_ID,CHEBI_NAME,COMPOUND_ID,MolecularFormula,CanonicalSMILES,IsomericSMILES,InChI,InChIKey,IUPACName,Fingerprint2D,inflammation,multiple_sclerosis,mental_health
DUKE:11-OXO-BETA-AMYRIN,PCID:20055661,CHEBI:63184,11-oxo-beta-amyrin,PCID:20055661,C30H48O2,CC1(CCC2(CCC3(C(=CC(=O)C4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1)C)C)C,C[C@@]12CC[C@@]3(C(=CC(=O)[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)O)C)C)[C@@H]1CC(CC2)(C)C)C,"InChI=1S/C30H48O2/c1-25(2)13-14-27(5)15-16-29(7)19(20(27)18-25)17-21(31)24-28(6)11-10-23(32)26(3,4)22(28)9-12-30(24,29)8/h17,20,22-24,32H,9-16,18H2,1-8H3/t20-,22-,23-,24+,27+,28-,29+,30+/m0/s1",UKAIYBGRLWQHDQ-KWRVYEIKSA-N,"(4aR,6aR,6aS,6bR,8aR,10S,12aS,14bR)-10-hydroxy-2,2,4a,6a,6b,9,9,12a-octamethyl-3,4,5,6,6a,7,8,8a,10,11,12,14b-dodecahydro-1H-picen-13-one",AAADcfB4MAAAAAAAAAAAAAAAAAAAAAAAAAAwYMGCAAAAAADAAAAAGgAACAAADxSggAICAAAAAgCIAqBSAAAAAAAgAAAACAEAAEgAEBIAAQAAQAAEgAAIAQOIyPCPgAAAAAAAAADAAAYAADAAAAAAAAAAAA==,False,False,False
"DUKE:(Z,Z)-2,5-UNDECADIEN-1-OL",PCID:11745038,CHEBI:NA,,PCID:11745038,C11H20O,CCCCCC=CCC=CCO,CCCCC/C=C\C/C=C\CO,"InChI=1S/C11H20O/c1-2-3-4-5-6-7-8-9-10-11-12/h6-7,9-10,12H,2-5,8,11H2,1H3/b7-6-,10-9-",DIAHHRRJYUXCRL-HZJYTTRNSA-N,"(2Z,5Z)-undeca-2,5-dien-1-ol",AAADceBwIAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGgAACAAACACggAICAAAAAgCAACBCAAAAAAAgAAAICAAAAAgAFAIAAQAAEAAAgAAIEAMAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,False,False,False
DUKE:PULSATILLOSIDE-B,PCID:10843030,CHEBI:NA,,PCID:10843030,C42H68O14,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)CO)O)C)C(=O)OC6C(C(C(C(O6)COC7C(C(C(C(O7)CO)O)O)O)O)O)O,CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]3CC[C@@H]4[C@]5(CC[C@@H]([C@@]([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)CO)O)C)C(=O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)O)O)O,"InChI=1S/C42H68O14/c1-20(2)21-9-14-42(37(52)56-36-34(51)32(49)30(47)24(55-36)18-53-35-33(50)31(48)29(46)23(17-43)54-35)16-15-40(5)22(28(21)42)7-8-26-38(3)12-11-27(45)39(4,19-44)25(38)10-13-41(26,40)6/h21-36,43-51H,1,7-19H2,2-6H3/t21-,22+,23+,24+,25+,26+,27-,28+,29+,30+,31-,32-,33+,34+,35+,36-,38-,39-,40+,41+,42-/m0/s1",PVVJZDLOKFUBNE-UGUOGOKGSA-N,"[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-2-yl] (1R,3aS,5aR,5bR,7aR,8R,9S,11aR,11bR,13aR,13bR)-9-hydroxy-8-(hydroxymethyl)-5a,5b,8,11a-tetramethyl-1-prop-1-en-2-yl-1,2,3,4,5,6,7,7a,9,10,11,11b,12,13,13a,13b-hexadecahydrocyclopenta[a]chrysene-3a-carboxylate",AAADcfB8PAAAAAAAAAAAAAAAAAAAAYAAAAA0aMGCAAAAAGDAAAAAGgAACAAADxSwgAMCCAAABgCIAgDSCAAAAAAgAAAAAAEAAAgREBIAAQAiQAAFgAAHAAHI6PyPgAAAAAAAAADAAAYAADAAAQAACAAAAA==,False,False,False
DUKE:DIUVARETIN,PCID:3085222,CHEBI:65802,diuvaretin,PCID:3085222,C30H28O6,COC1=C(C(=C(C(=C1C(=O)CCC2=CC=CC=C2)O)CC3=CC=CC=C3O)O)CC4=CC=CC=C4O,COC1=C(C(=C(C(=C1C(=O)CCC2=CC=CC=C2)O)CC3=CC=CC=C3O)O)CC4=CC=CC=C4O,"InChI=1S/C30H28O6/c1-36-30-23(18-21-12-6-8-14-25(21)32)28(34)22(17-20-11-5-7-13-24(20)31)29(35)27(30)26(33)16-15-19-9-3-2-4-10-19/h2-14,31-32,34-35H,15-18H2,1H3",KDEMELRYKGOXDL-UHFFFAOYSA-N,"1-[2,4-dihydroxy-3,5-bis[(2-hydroxyphenyl)methyl]-6-methoxyphenyl]-3-phenylpropan-1-one",AAADceB4OAAAAAAAAAAAAAAAAAAAAAAAAAAwYMGAAAAAAAABVAAAGgAACAAADASAmAIyBoAABgCIAqBSAAACCAAkIAAIiAEGCMgMJzaGNRqAcWAl4BUIuQeI7OzOIAACCAAIAABAAAQQABAAAAAAAAAAAA==,False,False,False
DUKE:GIBBERELLIN-A-9,PCID:5281986,CHEBI:29467,"2,3-didehydro-gibberellin A9",PCID:5281986,C19H22O4,CC12C=CCC3(C1C(C45C3CCC(C4)C(=C)C5)C(=O)O)OC2=O,C[C@@]12C=CC[C@@]3([C@@H]1[C@@H]([C@]45[C@H]3CC[C@H](C4)C(=C)C5)C(=O)O)OC2=O,"InChI=1S/C19H22O4/c1-10-8-18-9-11(10)4-5-12(18)19-7-3-6-17(2,16(22)23-19)14(19)13(18)15(20)21/h3,6,11-14H,1,4-5,7-9H2,2H3,(H,20,21)/t11-,12-,13-,14-,17-,18+,19-/m1/s1",NJHXRWOUQCGQAV-YGNOGLJPSA-N,"(1R,2R,5R,8R,9S,10R,11R)-11-methyl-6-methylidene-16-oxo-15-oxapentacyclo[9.3.2.15,8.01,10.02,8]heptadec-12-ene-9-carboxylic acid",AAADceB4OAAAAAAAAAAAAAAAAAAAAaMEAAAwQAAABggSAGDAAAAAGgAACAAAD0SAgAACCAAABgCIAiDSCAAAAAAgAAAICAEAAAgAABIAAQACQAAEwAAIAAPK7vzPgAAAAAAAAACAAAQAACAAAYAADAAAAA==,False,False,False
"DUKE:STIGMASTA-4,22-DIENE-3,6-DIONE",PCID:10455054,CHEBI:169484,"(22E,24R)-Stigmasta-4,22-diene-3,6-dione",PCID:10455054,C29H44O2,CCC(C=CC(C)C1CCC2C1(CCC3C2CC(=O)C4=CC(=O)CCC34C)C)C(C)C,CC[C@H](/C=C/[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC(=O)C4=CC(=O)CC[C@]34C)C)C(C)C,"InChI=1S/C29H44O2/c1-7-20(18(2)3)9-8-19(4)23-10-11-24-22-17-27(31)26-16-21(30)12-14-29(26,6)25(22)13-15-28(23,24)5/h8-9,16,18-20,22-25H,7,10-15,17H2,1-6H3/b9-8+/t19-,20-,22+,23-,24+,25+,28-,29-/m1/s1",XWHBTBBUPBKDBB-IZDHLYCQSA-N,"(8S,9S,10R,13R,14S,17R)-17-[(E,2R,5S)-5-ethyl-6-methylhept-3-en-2-yl]-10,13-dimethyl-2,7,8,9,11,12,14,15,16,17-decahydro-1H-cyclopenta[a]phenanthrene-3,6-dione",AAADcfB4MAAAAAAAAAAAAAAAAAAAAYAAAAAwYIAAAAAAAGDAAAAAGgAAAAAADwSAgAACAAAAAACIAqBSAAAAAAAgAAAICAEAAEgAABIAAQAAAAAAgAAIAYMIiMCPgAAAAAAAAACAAAQAACAAAQAACAAAAA==,False,False,False
DUKE:TRIPTOLIDE,PCID:107985,CHEBI:9747,Triptolide,PCID:107985,C20H24O6,CC(C)C12C(O1)C3C4(O3)C5(CCC6=C(C5CC7C4(C2O)O7)COC6=O)C,CC(C)[C@@]12[C@@H](O1)[C@H]3[C@@]4(O3)[C@]5(CCC6=C([C@@H]5C[C@H]7[C@]4([C@@H]2O)O7)COC6=O)C,"InChI=1S/C20H24O6/c1-8(2)18-13(25-18)14-20(26-14)17(3)5-4-9-10(7-23-15(9)21)11(17)6-12-19(20,24-12)16(18)22/h8,11-14,16,22H,4-7H2,1-3H3/t11-,12-,13-,14-,16+,17-,18-,19+,20+/m0/s1",DFBIRQPKNDILPW-CIVMWXNOSA-N,"(1S,2S,4S,5S,7R,8R,9S,11S,13S)-8-hydroxy-1-methyl-7-propan-2-yl-3,6,10,16-tetraoxaheptacyclo[11.7.0.02,4.02,9.05,7.09,11.014,18]icos-14(18)-en-17-one",AAADceB4OAAAAAAAAAAAAAAAEiQAAQAAAAAwYIAABIkAAEjAAAAAGgAACAAAD1SggAICCAAABgCIAgDQCAAAAAAgAAAACAEAAEgBFBIAIAACUAAFgAALIQPI6PyPgAAAAAAAAADCAAYQADCAAAAAAAAAAA==,False,False,False
DUKE:ROBTIN,PCID:90472843,CHEBI:NA,,PCID:90472843,C15H12O6,C1C(OC2=C(C1=O)C=CC(=C2)O)C3=CC(=C(C(=C3)O)O)O,C1[C@H](OC2=C(C1=O)C=CC(=C2)O)C3=CC(=C(C(=C3)O)O)O,"InChI=1S/C15H12O6/c16-8-1-2-9-10(17)6-13(21-14(9)5-8)7-3-11(18)15(20)12(19)4-7/h1-5,13,16,18-20H,6H2/t13-/m0/s1",RZPNYDYGMFMXLQ-ZDUSSCGKSA-N,"(2S)-7-hydroxy-2-(3,4,5-trihydroxyphenyl)-2,3-dihydrochromen-4-one",AAADccBwOAAAAAAAAAAAAAAAAAAAAAAAAAA0YIAAAAAAAACRQAAAGgAACAAADBSgmAIwBoAABgCIAqBSAAACCAAkIAAIiAEGiMgNJzaGNRqCeWGl4BUJuYfI7PzOIAABCAAIQABAAAIQABCAAAAAAAAAAA==,False,False,False
"DUKE:6,7,4'-TRIHYDROXYISOFLAVAN",PCID:125101,CHEBI:NA,,PCID:125101,C15H14O4,C1C(COC2=CC(=C(C=C21)O)O)C3=CC=C(C=C3)O,C1C(COC2=CC(=C(C=C21)O)O)C3=CC=C(C=C3)O,"InChI=1S/C15H14O4/c16-12-3-1-9(2-4-12)11-5-10-6-13(17)14(18)7-15(10)19-8-11/h1-4,6-7,11,16-18H,5,8H2",NLIIKGCVOJPMQB-UHFFFAOYSA-N,"3-(4-hydroxyphenyl)-3,4-dihydro-2H-chromene-6,7-diol",AAADccBwOAAAAAAAAAAAAAAAAAAAAAAAAAA0YIAAAAAAAACRQAAAGgAACAAADQSgmAIwBoAABgCAAiBCAAACCAAgIAAIiAAGiIgNJyKGMRqCeCGlwBUJuAfA4PwOoQABCAAIQABCAAIQABCAAAAAAAAAAA==,False,True,True
DUKE:ALPHA-CROCIN,PCID:5281233,CHEBI:79068,crocin-1,PCID:5281233,C44H64O24,CC(=CC=CC=C(C)C=CC=C(C)C(=O)OC1C(C(C(C(O1)COC2C(C(C(C(O2)CO)O)O)O)O)O)O)C=CC=C(C)C(=O)OC3C(C(C(C(O3)COC4C(C(C(C(O4)CO)O)O)O)O)O)O,C/C(=C\C=C\C=C(\C=C\C=C(\C(=O)O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO[C@@H]2O[C@@H]([C@H]([C@@H]([C@H]2O)O)O)CO)/C)/C)/C=C/C=C(/C(=O)O[C@@H]3O[C@@H]([C@H]([C@@H]([C@H]3O)O)O)CO[C@@H]4O[C@@H]([C@H]([C@@H]([C@H]4O)O)O)CO)\C,"InChI=1S/C44H64O24/c1-19(11-7-13-21(3)39(59)67-43-37(57)33(53)29(49)25(65-43)17-61-41-35(55)31(51)27(47)23(15-45)63-41)9-5-6-10-20(2)12-8-14-22(4)40(60)68-44-38(58)34(54)30(50)26(66-44)18-62-42-36(56)32(52)28(48)24(16-46)64-42/h5-14,23-38,41-58H,15-18H2,1-4H3/b6-5+,11-7+,12-8+,19-9+,20-10+,21-13+,22-14+/t23-,24-,25-,26-,27-,28-,29-,30-,31+,32+,33+,34+,35-,36-,37-,38-,41-,42-,43+,44+/m1/s1",SEBIKDIMAPSUBY-RTJKDTQDSA-N,"bis[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-2-yl] (2E,4E,6E,8E,10E,12E,14E)-2,6,11,15-tetramethylhexadeca-2,4,6,8,10,12,14-heptaenedioate",AAADcfB8PgAAAAAAAAAAAAAAAAAAAAAAAAAkSJEgAAAAAAAAAAAAGgAACAAADBSwgAMCCAAABgCIAiDSCAAAAAAgAAAICAEAAEgZFAIAIQAiUAAFAAAPoYPAYAwAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,False,False,False
DUKE:POLYAMINES,PCID:3301,CHEBI:88061,polyamine,PCID:3301,C2H8N2,C(CN)N,C(CN)N,InChI=1S/C2H8N2/c3-1-2-4/h1-4H2,PIICEJLVQHRZGT-UHFFFAOYSA-N,"ethane-1,2-diamine",AAADccBDAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAHAAQAAAAAADBAAQAAABAAAAAAAAAAAAAAAAAAAAAAIAAAAAAQAAAAAAAAAAAEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,False,False,False
DUKE:VINCEINE,PCID:251561,CHEBI:NA,,PCID:251561,C21H24N2O3,CC1C2CN3CCC4=C(C3CC2C(=CO1)C(=O)OC)NC5=CC=CC=C45,CC1C2CN3CCC4=C(C3CC2C(=CO1)C(=O)OC)NC5=CC=CC=C45,"InChI=1S/C21H24N2O3/c1-12-16-10-23-8-7-14-13-5-3-4-6-18(13)22-20(14)19(23)9-15(16)17(11-26-12)21(24)25-2/h3-6,11-12,15-16,19,22H,7-10H2,1-2H3",GRTOGORTSDXSFK-UHFFFAOYSA-N,"methyl 16-methyl-17-oxa-3,13-diazapentacyclo[11.8.0.02,10.04,9.015,20]henicosa-2(10),4,6,8,18-pentaene-19-carboxylate",AAADceB7MAAAAAAAAAAAAAAAAAAAAWAAAAA8WIEAAAAAAFix8AAAHgAQAAAADTzhngYyyPPJlACoAyTyTACCiCAhIiAImSE4ZNgIZPLAsZGUIAhmkADI6IeY/e/egAAAAAACAAAAAAAAAAQAAAAAAAAAAA==,False,False,True
DUKE:GAMMA-CARYOPHYLLENE,PCID:5281522,CHEBI:5993,Isocaryophyllene,PCID:5281522,C15H24,CC1=CCCC(=C)C2CC(C2CC1)(C)C,C/C/1=C/CCC(=C)[C@H]2CC([C@@H]2CC1)(C)C,"InChI=1S/C15H24/c1-11-6-5-7-12(2)13-10-15(3,4)14(13)9-8-11/h6,13-14H,2,5,7-10H2,1,3-4H3/b11-6-/t13-,14-/m1/s1",NPNUFJAVOOONJE-FLFDDASRSA-N,"(1R,4Z,9S)-4,11,11-trimethyl-8-methylidenebicyclo[7.2.0]undec-4-ene",AAADceBwAAAAAAAAAAAAAAAAAABgAAAAAAAAAAAAAAAAAEAAAAAAGAAAAAAADwCAAAACAAAAAACAAiBCAAAAAAAgAAAACAAAAAgAAAIAAQAAAAAAgAAIAAMAgMAPgAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,False,False,False
DUKE:CIS-COUTARIC-ACID,PCID:69968525,CHEBI:76096,"(2R,3S)-cis-coutaric acid",PCID:69968525,C13H12O8,C1=CC(=CC=C1C=CC(=O)OC(C(C(=O)O)O)C(=O)O)O,C1=CC(=CC=C1/C=C\C(=O)OC(C(C(=O)O)O)C(=O)O)O,"InChI=1S/C13H12O8/c14-8-4-1-7(2-5-8)3-6-9(15)21-11(13(19)20)10(16)12(17)18/h1-6,10-11,14,16H,(H,17,18)(H,19,20)/b6-3-",INYJZRKTYXTZHP-UTCJRWHESA-N,2-hydroxy-3-[(Z)-3-(4-hydroxyphenyl)prop-2-enoyl]oxybutanedioic acid,AAADccBwPAAAAAAAAAAAAAAAAAAAAAAAAAAwAAAAAAAAAAABAAAAGgAACAAADBSgmAIwDoAABgCIAiDSCAICAAAgIAAIiAFGCMgJNjaCMRaCcAAl4BELuYfDwAAOIAAAAAAAAABAAAAAAAAAAAAAAAAAAA==,False,False,False
DUKE:12-METHYL-13-TRIDECANOLIDE,PCID:534607,CHEBI:179326,12-Methyl-13-tridecanolide,PCID:534607,C14H26O2,CC1CCCCCCCCCCC(=O)OC1,CC1CCCCCCCCCCC(=O)OC1,"InChI=1S/C14H26O2/c1-13-10-8-6-4-2-3-5-7-9-11-14(15)16-12-13/h13H,2-12H2,1H3",NFNWPPOMMYDNFQ-UHFFFAOYSA-N,13-methyl-oxacyclotetradecan-2-one,AAADceBwMAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGgAAAAAADQCggAICCAAABAAIAACQCAAAAAAAAAAAAAEAAAAAABIAAAACAAAEAAAAAAGIyOCMAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,False,False,False
DUKE:BAICALEIN-7-GLUCURONIDE,PCID:44258403,CHEBI:NA,,PCID:44258403,C21H18O11,C1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)OC4C(C(C(C(O4)C(=O)O)O)O)O)O)O,C1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)O[C@H]4C([C@H]([C@@H](C(O4)C(=O)O)O)O)O)O)O,"InChI=1S/C21H18O11/c22-9-6-10(8-4-2-1-3-5-8)30-11-7-12(14(23)15(24)13(9)11)31-21-18(27)16(25)17(26)19(32-21)20(28)29/h1-7,16-19,21,23-27H,(H,28,29)/t16-,17-,18?,19?,21+/m0/s1",IKIIZLYTISPENI-ZAJNMQHRSA-N,"(3S,4S,6S)-6-(5,6-dihydroxy-4-oxo-2-phenylchromen-7-yl)oxy-3,4,5-trihydroxyoxane-2-carboxylic acid",AAADceB4PAAAAAAAAAAAAAAAAAAAAAAAAAA0YIEAAAAAAACBQAAAGgAACAAADBSwmAMwDoAABgCIAqDSCAICCAAkIAAIiAFGiMgdNzaGNR6ieWOl4BUPuQfK7LzOIQABCAAIQABCAAIQABCAAAAAAAAAAA==,False,False,False
DUKE:NICOTINE,PCID:89594,CHEBI:18723,nicotine,PCID:89594,C10H14N2,CN1CCCC1C2=CN=CC=C2,CN1CCC[C@H]1C2=CN=CC=C2,"InChI=1S/C10H14N2/c1-12-7-3-5-10(12)9-4-2-6-11-8-9/h2,4,6,8,10H,3,5,7H2,1H3/t10-/m0/s1",SNICXCGAKADSCV-JTQLQIEISA-N,3-[(2S)-1-methylpyrrolidin-2-yl]pyridine,AAADccBzAAAAAAAAAAAAAAAAAAAAAWAAAAAsAAAAAAAAAAABgAAAHAAAAAAADCjBGgQ+gJMIEACgAjBnRACCgCAxAiAI2CA4ZJgIIOLA0ZGEIAhggADIyAcQgIAOAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,True,True,True
DUKE:GIBBERELLIN-A-29,PCID:14605548,CHEBI:28040,gibberellin A29,PCID:14605548,C19H24O6,CC12CC(CC3(C1C(C45C3CCC(C4)(C(=C)C5)O)C(=O)O)OC2=O)O,C[C@@]12C[C@H](C[C@@]3([C@@H]1[C@@H]([C@]45[C@H]3CC[C@](C4)(C(=C)C5)O)C(=O)O)OC2=O)O,"InChI=1S/C19H24O6/c1-9-5-17-8-18(9,24)4-3-11(17)19-7-10(20)6-16(2,15(23)25-19)13(19)12(17)14(21)22/h10-13,20,24H,1,3-8H2,2H3,(H,21,22)/t10-,11-,12-,13-,16-,17+,18+,19-/m1/s1",BKBYHSYZKIAJDA-WWSAFQOPSA-N,"(1R,2R,5S,8S,9S,10R,11R,13R)-5,13-dihydroxy-11-methyl-6-methylidene-16-oxo-15-oxapentacyclo[9.3.2.15,8.01,10.02,8]heptadecane-9-carboxylic acid",AAADceB4OAAAAAAAAAAAAAAAAAAAAaMEAAAwYAAABogSAGDAAAAAGgAACAAAD1SggAICCAAABgCIAgDSCAAAAAAgAAAAAAEAAAgAFBIAAQACQAAFgAAAEAHK7vzPgAAAAAAAAADAAAYQADAAAYAADAAAAA==,False,False,False
DUKE:SULFOQUINOVOSYL-DIGLYCERIDE,PCID:56842030,CHEBI:NA,,PCID:56842030,C45H76O12S,CCCCCCCCCCCCCCCC(=O)OC(COC1C(C(C(C(O1)CS(=O)(=O)O)O)O)O)COC(=O)CCCC=CCC=CCC=CCC=CCC=CCC,CCCCCCCCCCCCCCCC(=O)OC(CO[C@@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CS(=O)(=O)O)O)O)O)COC(=O)CCC/C=C/C/C=C/C/C=C/C/C=C/C/C=C/CC,"InChI=1S/C45H76O12S/c1-3-5-7-9-11-13-15-17-18-19-20-22-23-25-27-29-31-33-40(46)54-35-38(36-55-45-44(50)43(49)42(48)39(57-45)37-58(51,52)53)56-41(47)34-32-30-28-26-24-21-16-14-12-10-8-6-4-2/h5,7,11,13,17-18,20,22,25,27,38-39,42-45,48-50H,3-4,6,8-10,12,14-16,19,21,23-24,26,28-37H2,1-2H3,(H,51,52,53)/b7-5+,13-11+,18-17+,22-20+,27-25+/t38?,39-,42-,43+,44-,45+/m1/s1",IIDPUWZBYVLQEU-GMJMQRIKSA-N,"[(2S,3S,4S,5R,6S)-6-[2-hexadecanoyloxy-3-[(5E,8E,11E,14E,17E)-icosa-5,8,11,14,17-pentaenoyl]oxypropoxy]-3,4,5-trihydroxyoxan-2-yl]methanesulfonic acid",AAADcfB8PABAAAAAAAAAAAAAAAAAAAAAAAAkAAAAAAAAAAAAAAAAGgQACAAACBS0wAOCCAAABoKIACDSCHBAAAAgAAAICAEAAAgREBIAAQAiQAAFgAAPAAPI6KyAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,False,False,False
DUKE:ISOPSORALIDIN,PCID:12304285,CHEBI:NA,,PCID:12304285,C20H16O5,CC1(CCC2=CC3=C(C=C2O1)OC(=O)C4=C3OC5=C4C=CC(=C5)O)C,CC1(CCC2=CC3=C(C=C2O1)OC(=O)C4=C3OC5=C4C=CC(=C5)O)C,"InChI=1S/C20H16O5/c1-20(2)6-5-10-7-13-16(9-14(10)25-20)24-19(22)17-12-4-3-11(21)8-15(12)23-18(13)17/h3-4,7-9,21H,5-6H2,1-2H3",JWCDJOWFOVBBCP-UHFFFAOYSA-N,"6-hydroxy-17,17-dimethyl-3,12,16-trioxapentacyclo[11.8.0.02,10.04,9.015,20]henicosa-1(13),2(10),4(9),5,7,14,20-heptaen-11-one",AAADceB4OAAAAAAAAAAAAAAAAAAAASAAAAA0aIEAAAAAAEiR9AAAGgAACAAADESAmAAyDsAABkCIAqDSCAACCAAkIAAIiAEGCMgMJzaONRqCe2Cl4BUIuYfL7PzOoAACCAAIAABAAAQQABAAAAAAAAAAAA==,False,False,False
"DUKE:3,4-DIHYDROXYBENZOIC-ACID",PCID:72,CHEBI:36062,"3,4-dihydroxybenzoic acid",PCID:72,C7H6O4,C1=CC(=C(C=C1C(=O)O)O)O,C1=CC(=C(C=C1C(=O)O)O)O,"InChI=1S/C7H6O4/c8-5-2-1-4(7(10)11)3-6(5)9/h1-3,8-9H,(H,10,11)",YQUVCSBJEUQKSH-UHFFFAOYSA-N,"3,4-dihydroxybenzoic acid",AAADcYBgOAAAAAAAAAAAAAAAAAAAAAAAAAAwAAAAAAAAAAABAAAAGgAACAAADASAmAAwDoAAAgCIAiDSCAACAAAkIAAIiAEGiMgJJjKCFRKAcQEkwBEJmYfK7DTOIAABAAAAQABAAAIAAACAAAAAAAAAAA==,False,False,True
DUKE:ANGULARINE,PCID:5281722,CHEBI:2722,Angularine,PCID:5281722,C18H25NO6,CC=C1CC(=C)C(C(=O)OCC2C(CN3C2C(CC3)OC1=O)O)(C)O,C/C=C\1/CC(=C)[C@@](C(=O)OC[C@H]2[C@@H](CN3[C@H]2[C@@H](CC3)OC1=O)O)(C)O,"InChI=1S/C18H25NO6/c1-4-11-7-10(2)18(3,23)17(22)24-9-12-13(20)8-19-6-5-14(15(12)19)25-16(11)21/h4,12-15,20,23H,2,5-9H2,1,3H3/b11-4-/t12-,13+,14+,15+,18+/m0/s1",MCWACAVORNFEFS-HMNNQIDUSA-N,"(1R,4Z,7R,11S,12S,17R)-4-ethylidene-7,12-dihydroxy-7-methyl-6-methylidene-2,9-dioxa-14-azatricyclo[9.5.1.014,17]heptadecane-3,8-dione",AAADceB6OAAAAAAAAAAAAAAAAAAAAWLAAAAAAAAAAAAWAAAAAAAAHgAACAAADXzhgAYCCAMABgCIAiDSCAIAAAAgAAAACAFIAEgDFBIAoQAHUAAHwACbMYP4/B5OAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,False,False,False
DUKE:VALEROSIDATE,PCID:10457051,CHEBI:80904,Valerosidatum,PCID:10457051,C21H34O11,CC(C)CC(=O)OC1C2C(CC(C2(C)O)O)C(=CO1)COC3C(C(C(C(O3)CO)O)O)O,CC(C)CC(=O)O[C@H]1[C@H]2[C@H](C[C@@H]([C@@]2(C)O)O)C(=CO1)CO[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,"InChI=1S/C21H34O11/c1-9(2)4-14(24)32-19-15-11(5-13(23)21(15,3)28)10(7-29-19)8-30-20-18(27)17(26)16(25)12(6-22)31-20/h7,9,11-13,15-20,22-23,25-28H,4-6,8H2,1-3H3/t11-,12-,13+,15-,16-,17+,18-,19+,20-,21-/m1/s1",LANCLZFYVLANQS-RHMPUOGUSA-N,"[(1S,4aS,6S,7S,7aS)-6,7-dihydroxy-7-methyl-4-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]-4a,5,6,7a-tetrahydro-1H-cyclopenta[c]pyran-1-yl] 3-methylbutanoate",AAADcfB4PAAAAAAAAAAAAAAAAAAAAYAAAAAkQAAAAAAAAEAAAAAAGgAACAAADVSwgAMCCAAABgCIAgDSCAAACAAgIAAAAAEAAAgRFBIAIQAiQAAFgAAHIAHA4PwOgAAAAAAAAAAAAAAAAAAAAYAADCAAAA==,False,False,False
"DUKE:4-METHYL-2,6-DIMETHOXYPHENOL",PCID:240925,CHEBI:NA,,PCID:240925,C9H12O3,CC1=CC(=C(C(=C1)OC)O)OC,CC1=CC(=C(C(=C1)OC)O)OC,"InChI=1S/C9H12O3/c1-6-4-7(11-2)9(10)8(5-6)12-3/h4-5,10H,1-3H3",ZFBNNSOJNZBLLS-UHFFFAOYSA-N,"2,6-dimethoxy-4-methylphenol",AAADccBwMAAAAAAAAAAAAAAAAAAAAAAAAAAwAAAAAAAAAAABAAAAGgAACAAADASAmAIyBoAABgCAAiBCAAACCAAgIAAAiAAGiIgNJyKGMRqAcCMlwBULuAeA4BwOIAABCAAAQABAAAIQAACAAAAAAAAAAA==,False,False,False
